agentName,agentDescription,yearsOfExperience,availableNow
"Hiroki Sato","Outdoor adventure planner in New Zealand, offering hiking, bungee jumping, and scenic flight tours across both North and South Islands.",8,true
"Daniela Montoya","Andes Mountains trekking and Peruvian cultural immersion pro. Skilled at weaving local festivals and artisan workshops into itineraries.",18,false
"Olivia Brown","Focuses on experience-based travel throughout Scandinavia and the Alps. Known for organizing reindeer safaris and glacier hikes.",7,true
"Jeremy Brooks","Tropical wedding and honeymoon specialist, arranging beach ceremonies in the Maldives, the Seychelles, and Mauritius.",11,true
"Amira Ali","Northern Africa cultural guide, with a strong emphasis on Moroccan riad stays, Egyptian archaeological tours, and Sahara desert camps.",20,false
"Anton Petrov","Trans-Siberian Railway voyage expert, planning epic overland trips through Russia, Mongolia, and China. Offers homestay options for authenticity.",9,true
"Valentina Müller","Central American culture enthusiast focusing on Guatemala, Belize, and Nicaragua. Highlights Mayan ruins and eco-lodges.",6,true
"Carlos dos Santos","Portuguese coastal and countryside aficionado. Organizes surfing packages in the Algarve and wine tastings in Douro Valley.",14,false
"Hannah Ford","Great Lakes and Canadian Rockies specialist. Plans scenic rail journeys, wildlife safaris, and cozy lodge stays.",8,true
"Rachel Adkins","Theme-park travel coordinator, specializing in customized Disney and Universal packages. Aims for stress-free family experiences.",5,true
"Harriet Park","Kimchi and K-pop tours in South Korea, blending modern pop culture with historical palaces and countryside hanok stays.",10,true
"Vincent Roy","French countryside and château holiday expert, known for designing romantic getaways throughout Provence, Loire Valley, and Normandy.",16,false
"Frida Mårtensson","Green travel advocate in the Nordic region, highlighting sustainable stays and slow tourism around Sweden, Norway, and Finland.",4,true
"Jermaine Walker","African heritage tour consultant, focusing on Ghana, Senegal, and Ethiopia. Combines historical sites with vibrant modern cultures.",15,true
"Katie McBride","Canadian winter escapes including ski adventures in Whistler and dog-sled tours in Banff. Also arranges cozy chalets for families.",7,true
"Ravi Vaidya","India specialist offering spiritual journeys to Varanasi, yoga retreats in Rishikesh, and royal palace stays in Rajasthan.",19,false
"Saara Virtanen","Baltic Sea cruise and Finnish sauna experience coordinator, with a keen eye for Northern European traditions and winter sports.",6,true
"Nadia Farah","Jordan and Lebanon cultural tour planner, balancing ancient ruins with modern city life. Skilled at crafting unique foodie experiences.",12,true
"Juan Martinez","Pan-American route expeditions from Alaska down to Ushuaia. Encourages road-trippers to explore unique cross-border adventures.",18,false
"Evelyn Chan","Asia-based luxury train and resort trip designer, specializing in scenic routes and five-star getaways in Southeast and East Asia.",8,true
